"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",98.89074,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",98.83855,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",98.97714,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.12488,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",99.10333,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",98.92802,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",98.68276,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",98.44312,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",98.228,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",98.05828,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",97.98137,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",98.00299,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",98.15637,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",98.42815,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",98.74252,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.02528,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.21239,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.32745,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.41708,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.47702,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",99.54745,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",99.70266,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",99.99156,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",100.3597,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.6906,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.8618,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.9261,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.9676,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",101.031,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",101.0724,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",101.0493,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.9483,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.8168,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.72,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.7214,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.7919,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-01",100.882,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-02",100.9246,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-03",100.8987,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-04",100.8326,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-05",100.7987,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.8607,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.981,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-08",101.0953,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-09",101.2009,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-10",101.3069,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-11",101.3949,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1977-12",101.4699,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-01",101.5111,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-02",101.4918,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-03",101.4261,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-04",101.4249,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-05",101.4534,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-06",101.4569,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-07",101.4676,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-08",101.4438,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-09",101.4227,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-10",101.2828,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-11",101.0005,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1978-12",100.7115,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-01",100.6146,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-02",100.5963,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-03",100.5287,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-04",100.443,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-05",100.3348,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-06",100.1314,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-07",99.91533,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-08",99.80125,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-09",99.6865,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-10",99.49876,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-11",99.32462,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1979-12",99.15653,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-01",99.00079,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-02",98.7569,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-03",98.41177,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-04",98.183,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-05",98.15842,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-06",98.32042,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-07",98.57501,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-08",98.88962,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-09",99.13768,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-10",99.20534,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-11",99.06113,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1980-12",98.79891,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-01",98.6582,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-02",98.51443,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-03",98.4625,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-04",98.5543,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-05",98.66702,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-06",98.65247,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-07",98.60529,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-08",98.54212,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-09",98.42605,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-10",98.26505,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-11",98.15462,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1981-12",98.2262,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-01",98.40954,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-02",98.47408,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-03",98.52234,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-04",98.63463,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-05",98.68715,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-06",98.62051,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-07",98.48661,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-08",98.41945,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-09",98.44483,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-10",98.5236,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-11",98.58797,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1982-12",98.67669,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-01",98.88713,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-02",99.26546,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-03",99.74667,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-04",100.1402,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-05",100.347,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-06",100.4044,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-07",100.403,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-08",100.3706,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-09",100.34,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-10",100.3814,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-11",100.548,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1983-12",100.7809,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-01",100.9676,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-02",100.9951,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-03",100.9335,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-04",100.8005,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-05",100.6974,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-06",100.644,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-07",100.7013,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-08",100.8076,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-09",100.8779,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-10",100.8508,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-11",100.8317,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1984-12",100.843,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-01",100.8877,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-02",100.857,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-03",100.8223,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-04",100.8124,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-05",100.8153,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-06",100.8566,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-07",100.8604,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-08",100.8446,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-09",100.8478,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-10",100.8923,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-11",100.9923,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1985-12",101.1234,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-01",101.2379,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-02",101.2938,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-03",101.3145,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-04",101.3281,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-05",101.3473,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-06",101.3863,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-07",101.3595,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-08",101.2838,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-09",101.2028,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-10",101.1589,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-11",101.0766,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1986-12",100.9963,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-01",100.9773,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-02",101.02,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-03",101.0954,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-04",101.1806,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-05",101.2394,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-06",101.3118,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-07",101.385,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-08",101.4038,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-09",101.3371,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-10",101.1788,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-11",101.0469,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1987-12",101.089,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-01",101.2222,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-02",101.354,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-03",101.4546,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-04",101.5023,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-05",101.5632,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-06",101.6129,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-07",101.6679,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-08",101.7489,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-09",101.7746,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-10",101.7373,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-11",101.6972,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1988-12",101.6604,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-01",101.6396,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-02",101.5323,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-03",101.3623,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-04",101.202,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-05",101.1246,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-06",101.1309,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-07",101.1994,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-08",101.279,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-09",101.366,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-10",101.3402,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-11",101.2862,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1989-12",101.2687,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-01",101.2614,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-02",101.2075,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-03",101.1594,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-04",101.1364,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-05",101.0598,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-06",100.9263,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-07",100.6776,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-08",100.2311,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-09",99.7415,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-10",99.40887,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-11",99.32039,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1990-12",99.3676,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-01",99.48298,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-02",99.77484,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-03",100.1806,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-04",100.325,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-05",100.3212,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-06",100.2765,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-07",100.2058,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-08",100.1463,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-09",100.074,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-10",99.85699,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-11",99.5554,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1991-12",99.34688,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1992-01",99.30447,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1992-02",99.42582,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1992-03",99.61107,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1992-04",99.7259,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1992-05",99.74598,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1992-06",99.64771,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1992-07",99.44537,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1992-08",99.21805,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1992-09",99.0311,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1992-10",98.96707,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1992-11",99.09799,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1992-12",99.25822,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1993-01",99.33906,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1993-02",99.325,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1993-03",99.28663,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1993-04",99.23554,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1993-05",99.10412,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1993-06",98.9362,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1993-07",98.80614,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1993-08",98.76987,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1993-09",98.81584,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1993-10",98.92862,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1993-11",99.11887,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1993-12",99.45413,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1994-01",99.80732,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1994-02",100.0227,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1994-03",100.1384,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1994-04",100.2647,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1994-05",100.4198,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1994-06",100.5759,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1994-07",100.7138,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1994-08",100.8674,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1994-09",100.9878,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1994-10",101.054,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1994-11",101.0659,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1994-12",101.0546,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1995-01",101.0093,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1995-02",100.8521,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1995-03",100.6599,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1995-04",100.5578,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1995-05",100.543,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1995-06",100.6403,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1995-07",100.7275,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1995-08",100.7221,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1995-09",100.5979,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1995-10",100.4987,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1995-11",100.4396,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1995-12",100.4332,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1996-01",100.4406,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1996-02",100.4582,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1996-03",100.4972,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1996-04",100.459,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1996-05",100.3966,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1996-06",100.406,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1996-07",100.4555,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1996-08",100.5151,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1996-09",100.5607,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1996-10",100.6086,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1996-11",100.6329,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1996-12",100.6263,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-01",100.6671,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-02",100.7602,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-03",100.8683,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-04",100.988,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-05",101.1305,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-06",101.2808,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-07",101.3941,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-08",101.429,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-09",101.44,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-10",101.4281,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-11",101.4181,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1997-12",101.4081,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-01",101.484,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-02",101.5811,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-03",101.609,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-04",101.5898,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-05",101.5151,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-06",101.4214,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-07",101.3494,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-08",101.2687,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-09",101.2137,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-10",101.2435,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-11",101.3875,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1998-12",101.5368,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-01",101.7194,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-02",101.8431,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-03",101.8371,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-04",101.7926,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-05",101.7803,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-06",101.7935,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-07",101.8013,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-08",101.8222,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-09",101.8821,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-10",101.9661,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-11",102.0906,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-12",102.2238,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-01",102.3622,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-02",102.3992,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-03",102.3695,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-04",102.3609,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-05",102.3441,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-06",102.2894,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-07",102.26,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-08",102.1829,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-09",102.0395,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-10",101.9305,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-11",101.7918,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-12",101.5686,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-01",101.3497,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-02",101.1845,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-03",101.0977,
